filename,text
train/img_1_0.png,Genaxis Theatre
train/img_1_1.png,[06]
train/img_1_2.png,62-03
train/img_1_3.png,Carpark
train/img_10_0.png,HarbourFront
train/img_10_1.png,CC22
train/img_10_2.png,bua
train/img_100_0.png,Way
train/img_100_1.png,out
train/img_100_2.png,Line
train/img_100_3.png,Platform
train/img_101_0.png,CARE
train/img_101_1.png,STICKER
train/img_101_2.png,FOR
train/img_101_3.png,MORE
train/img_102_0.png,Shop
train/img_102_1.png,Dine
train/img_102_2.png,SMRT
train/img_103_0.png,guardian
train/img_104_0.png,COACH
train/img_104_1.png,BAG
train/img_105_0.png,THANK
train/img_105_1.png,YOU
train/img_105_2.png,FOR
train/img_105_3.png,QUEUEING
train/img_106_0.png,BERTH
train/img_107_0.png,Canon
train/img_107_1.png,MAMMA
train/img_107_2.png,MIA!
train/img_108_0.png,CARD
train/img_108_1.png,READER
train/img_108_2.png,EXIT
train/img_108_3.png,SIDE-GATE
train/img_108_4.png,RESIDENTS
train/img_108_5.png,SCAN
train/img_108_6.png,DEAR
train/img_108_7.png,YOUR
train/img_108_8.png,ACCESS
train/img_108_9.png,CARD
train/img_108_10.png,THE
train/img_108_11.png,THE
train/img_108_12.png,RIGHT
train/img_108_13.png,HAND
train/img_108_14.png,SIDE
train/img_108_15.png,THE
train/img_108_16.png,WALL
train/img_108_17.png,AND
train/img_108_18.png,OPEN
train/img_108_19.png,GATE
train/img_108_20.png,THEMANAGEMENT
train/img_109_0.png,prefer
train/img_109_1.png,VISA
train/img_109_2.png,OOTOYA
train/img_109_3.png,Japanese
train/img_109_4.png,Restaurant
train/img_11_0.png,Shops
train/img_11_1.png,Gen is
train/img_11_2.png,Theatre
train/img_11_3.png,Place
train/img_11_4.png,Nursing
train/img_11_5.png,Room
train/img_11_6.png,Fraser
train/img_110_0.png,HANTU
train/img_111_0.png,EXIT
train/img_112_0.png,Get
train/img_112_1.png,with
train/img_112_2.png,ASUS
train/img_112_3.png,LTE
train/img_113_0.png,6-3388-680
train/img_113_1.png,Health
train/img_113_2.png,For
train/img_113_3.png,BEAUTY
train/img_113_4.png,For
train/img_113_5.png,guardian
train/img_113_6.png,TRICHOKARE
train/img_113_7.png,#05-11
train/img_113_8.png,deserve
train/img_113_9.png,LON
train/img_113_10.png,www.tk-hair.com
train/img_113_11.png,Real
train/img_113_12.png,Results
train/img_113_13.png,from
train/img_113_14.png,Experts!
train/img_113_15.png,Hair
train/img_114_0.png,unity
train/img_114_1.png,$9.90
train/img_114_2.png,Sanook
train/img_115_0.png,skincare
train/img_115_1.png,$128
train/img_115_2.png,$5000
train/img_115_3.png,unity
train/img_115_4.png,unity
train/img_115_5.png,ments
train/img_116_0.png,Special
train/img_116_1.png,WIN
train/img_116_2.png,NEW
train/img_116_3.png,Special
train/img_116_4.png,Original
train/img_116_5.png,Original
train/img_116_6.png,Next
train/img_116_7.png,custom
train/img_116_8.png,Vanilla
train/img_116_9.png,Almond
train/img_116_10.png,grain
train/img_116_11.png,PANAD
train/img_116_12.png,Special
train/img_117_0.png,Enjoy
train/img_117_1.png,SMARTS
train/img_117_2.png,rebate
train/img_117_3.png,UOB
train/img_117_4.png,hour
train/img_118_0.png,EXIT
train/img_118_1.png,SMRT
train/img_119_0.png,University
train/img_119_1.png,Town
train/img_12_0.png,LIFESTYLE
train/img_12_1.png,CHOICES
train/img_12_2.png,THAT
train/img_12_3.png,FOR
train/img_12_4.png,COME
train/img_12_5.png,SHOP
train/img_12_6.png,DINE
train/img_120_0.png,(USP)
train/img_120_1.png,Auditorium
train/img_120_2.png,Resource
train/img_120_3.png,Centre
train/img_120_4.png,Town
train/img_120_5.png,Education
train/img_120_6.png,Green
train/img_120_7.png,CREATE
train/img_120_8.png,UTown
train/img_120_9.png,Residence
train/img_120_10.png,Tembusu
train/img_120_11.png,College
train/img_120_12.png,Cinnamon
train/img_120_13.png,College
train/img_120_14.png,Town
train/img_120_15.png,Plaza
train/img_120_16.png,Seminar
train/img_120_17.png,Rooms
train/img_120_18.png,1-12
train/img_120_19.png,Town
train/img_120_20.png,Plaza
train/img_120_21.png,Research
train/img_120_22.png,Wing
train/img_120_23.png,CREATE
train/img_120_24.png,Tower
train/img_120_25.png,Lobby
train/img_121_0.png,SLOW
train/img_121_1.png,SLOW
train/img_122_0.png,Centre
train/img_122_1.png,SBS
train/img_122_2.png,service
train/img_122_3.png,Town
train/img_122_4.png,Passanger
train/img_122_5.png,Clementi
train/img_122_6.png,Ave
train/img_122_7.png,Passenger
train/img_123_0.png,#10-12
train/img_123_1.png,connexis
train/img_123_2.png,Tower
train/img_123_3.png,L10
train/img_123_4.png,#10-10
train/img_123_5.png,North
train/img_123_6.png,#10-15
train/img_124_0.png,SHOP
train/img_124_1.png,DOROTHY
train/img_124_2.png,PERKINS
train/img_124_3.png,ONLINE
train/img_124_4.png,24/7
train/img_124_5.png,Asia
